,T,TM,Tm,SLP,H,VV,V,VM,PM 2.5
1,7.4,9.8,4.8,1017.6,93,0.5,4.3,9.4,219.72083333333333
2,7.8,12.7,4.4,1018.5,87,0.6,4.4,11.1,182.1875
6,6.7,13.4,2.4,1019.4,82,0.6,4.8,11.1,154.03750000000002
7,8.6,15.5,3.3,1018.7,72,0.8,8.1,20.6,223.20833333333334
8,12.4,20.9,4.4,1017.3,61,1.3,8.7,22.2,200.64583333333337
12,16,25.2,10,1013.2,79,0.6,4.8,11.1,285.22499999999997
13,13.4,21,9.2,1015.1,87,0.5,1.5,7.6,236.82499999999996
14,14.3,22.6,6.6,1016.3,76,0.8,0.4,3.5,276.90833333333336
18,12.7,18.9,7.3,1021.2,76,1.8,6.1,16.5,108.0
19,11.9,18.9,6.3,1020.1,76,1.1,8.3,20.6,107.625
20,12.2,19.9,6.2,1021,69,2.1,4.4,18.3,125.89166666666667
24,13.4,21.1,5.6,1020,60,1.9,8,22.2,181.01250000000005
25,12.3,21.4,6.4,1019.6,70,1.9,6.7,14.8,152.55416666666667
26,13.7,22,7,1018.2,63,1.8,7.2,18.3,152.32083333333335
30,14.9,21.9,7.1,1018.3,73,0.6,2,7.6,319.7375
31,15,24,7.6,1017.4,81,0.6,2.2,7.6,332.7083333333333
32,16.3,24,12,1017.2,80,0.8,1.3,9.4,279.59999999999997
33,18.7,26.3,9.5,1015.3,64,1.6,1.7,7.6,179.11666666666667
37,14.6,21.6,9.4,1018.4,72,2.7,9.4,18.3,54.791666666666664
38,14.7,21.7,8.4,1017.1,71,1.8,10.9,22.2,93.375
39,14.8,22.6,8.5,1016.8,67,2.1,9.3,18.3,103.0
43,17.4,25.4,10.3,1015.8,63,1.9,6.7,14.8,132.20833333333334
44,18.1,26.7,10.2,1013.8,61,2.6,5,11.1,127.70833333333333
45,18.3,23.2,12.7,1011.2,75,1.9,10,22.2,109.33333333333333
49,16.4,22,11.2,1015.5,81,1.6,5.9,18.3,56.458333333333336
50,16.9,23.5,10.1,1016.8,80,1.3,5.2,22.2,135.83333333333334
51,19.3,26.9,12.1,1015.6,74,1.6,5.9,11.1,122.5
55,17.2,24.2,10.8,1018.3,74,2.6,4.6,14.8,69.66666666666667
56,17.7,26.5,9.8,1015.3,73,1.4,4.8,14.8,79.83333333333333
57,20.4,28.4,15.2,1014.7,62,2.4,5,14.8,62.708333333333336
59,18.2,26.1,12.2,1016.3,54,1.9,24.4,33.5,21.208333333333332
60,19,26.8,11.7,1016.3,58,2.6,16.7,29.4,1.9166666666666667
61,18.7,27.8,13.3,1016.2,69,2.4,7.4,25.9,1.8333333333333333
65,22.6,30.6,15.7,1015.4,62,2.6,8.1,20.6,105.83333333333333
66,22.5,31.8,13.7,1014.6,57,2.3,5.9,14.8,117.58333333333333
67,24,33.8,13.6,1009.7,53,1.9,4.6,18.3,122.70833333333333
71,23.8,33,14.9,1010.4,64,1.9,3.9,11.1,111.95833333333333
